"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1124","0.0-0.0","spark_pilot_2","7432","3","18","Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","34769","0.0-1.0","spark_pilot_2","7432","3","18","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":48215}]","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","49188","0.0-2.0","spark_pilot_2","7432","3","18","Female","true","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","51554","0.0-3.0","spark_pilot_2","7432","3","18","Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","54402","0.0-4.0-0.0-0.0","spark_pilot_2","7432","3","18","Female","","","","","","","","2808","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","5","63001","0.0-4.0-1.0-0.0","spark_pilot_2","7432","3","18","Female","","","","","","","","1642","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","81882","0.0-4.0-1.0-0.1","spark_pilot_2","7432","3","18","Female","","","","","","","","10499","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","91213","0.0-4.0-1.0-0.2","spark_pilot_2","7432","3","18","Female","","","","","","","","1096","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","106581","0.0-4.0-1.0-0.3","spark_pilot_2","7432","3","18","Female","","","","","","","","2243","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","121130","0.0-4.0-1.0-0.4","spark_pilot_2","7432","3","18","Female","","","","","","","","3159","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
