"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1286","0.0-0.0","spark_pilot_2","7306","8","11","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","5930","0.0-1.0","spark_pilot_2","7306","8","11","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":11637},{""event"":""fullscreenexit"",""trial"":2,""time"":12090}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","12612","0.0-2.0","spark_pilot_2","7306","8","11","Female","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","24690","0.0-3.0-0.0-0.0","spark_pilot_2","7306","8","11","Female","","","","","","","12061","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","37658","0.0-3.0-1.0-0.0","spark_pilot_2","7306","8","11","Female","","","","","","","5979.400000035763","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","49227","0.0-3.0-1.0-0.1","spark_pilot_2","7306","8","11","Female","","","","","","","3177","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","58491","0.0-3.0-1.0-0.2","spark_pilot_2","7306","8","11","Female","","","","","","","1010.8000000119209","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","72667","0.0-3.0-1.0-0.3","spark_pilot_2","7306","8","11","Female","","","","","","","1036.800000011921","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","85556","0.0-3.0-1.0-0.4","spark_pilot_2","7306","8","11","Female","","","","","","","1475.300000011921","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","94316","0.0-3.0-1.0-0.5","spark_pilot_2","7306","8","11","Female","","","","","","","944.6999999880791","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
