"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","929","0.0-0.0","spark_pilot_2","7397","6","16","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","35510","0.0-1.0","spark_pilot_2","7397","6","16","Female","true","false","[]","[]","[]","[{""event"":""blur"",""trial"":2,""time"":97548},{""event"":""focus"",""trial"":2,""time"":101940},{""event"":""fullscreenenter"",""trial"":2,""time"":102074}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","103036","0.0-2.0","spark_pilot_2","7397","6","16","Female","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","105176","0.0-3.0-0.0-0.0","spark_pilot_2","7397","6","16","Female","","","","","","","1515","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","116256","0.0-3.0-1.0-0.0","spark_pilot_2","7397","6","16","Female","","","","","","","4088.5999999046326","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","126143","0.0-3.0-1.0-0.1","spark_pilot_2","7397","6","16","Female","","","","","","","1455.8999996185303","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","135854","0.0-3.0-1.0-0.2","spark_pilot_2","7397","6","16","Female","","","","","","","1439.1999998092651","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","151345","0.0-3.0-1.0-0.3","spark_pilot_2","7397","6","16","Female","","","","","","","2316.7000002861023","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","163726","0.0-3.0-1.0-0.4","spark_pilot_2","7397","6","16","Female","","","","","","","938.0999999046326","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","172964","0.0-3.0-1.0-0.5","spark_pilot_2","7397","6","16","Female","","","","","","","1397","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","183103","0.0-3.0-1.0-0.6","spark_pilot_2","7397","6","16","Female","","","","","","","1307","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","190905","0.0-3.0-1.0-0.7","spark_pilot_2","7397","6","16","Female","","","","","","","745.5","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","194947","0.0-3.0-2.0-0.0","spark_pilot_2","7397","6","16","Female","","false","","","","","[1547.3999996185303]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","195458","0.0-3.0-2.0-1.0","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","199469","0.0-3.0-2.0-0.1","spark_pilot_2","7397","6","16","Female","","false","","","","","[801.9000000953674]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","199981","0.0-3.0-2.0-1.1","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","203992","0.0-3.0-2.0-0.2","spark_pilot_2","7397","6","16","Female","","false","","","","","[364.2999997138977]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","204504","0.0-3.0-2.0-1.2","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","209927","0.0-3.0-3.0-0.0","spark_pilot_2","7397","6","16","Female","","","","","","","716.8000001907349","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","213955","0.0-3.0-4.0-0.0","spark_pilot_2","7397","6","16","Female","","false","","","","","[489.7000002861023]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","214460","0.0-3.0-4.0-1.0","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","218477","0.0-3.0-4.0-0.1","spark_pilot_2","7397","6","16","Female","","false","","","","","[753.9000000953674]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","218988","0.0-3.0-4.0-1.1","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","223009","0.0-3.0-4.0-0.2","spark_pilot_2","7397","6","16","Female","","false","","","","","[544.6999998092651]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","223521","0.0-3.0-4.0-1.2","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","235052","0.0-3.0-5.0-0.0","spark_pilot_2","7397","6","16","Female","","","","","","","1661.8999996185303","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","246127","0.0-3.0-5.0-0.1","spark_pilot_2","7397","6","16","Female","","","","","","","1920.6999998092651","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","258746","0.0-3.0-5.0-0.2","spark_pilot_2","7397","6","16","Female","","","","","","","1408.4000000953674","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","266895","0.0-3.0-5.0-0.3","spark_pilot_2","7397","6","16","Female","","","","","","","1770.8999996185303","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","270914","0.0-3.0-6.0-0.0","spark_pilot_2","7397","6","16","Female","","false","","","","","[1033]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","30","271425","0.0-3.0-6.0-1.0","spark_pilot_2","7397","6","16","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","275437","0.0-3.0-6.0-0.1","spark_pilot_2","7397","6","16","Female","","false","","","","","[536.7999997138977]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
