"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1360","0.0-0.0","spark_pilot_2","7345","4","13","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2237","0.0-1.0","spark_pilot_2","7345","4","13","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":3364}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","4350","0.0-2.0","spark_pilot_2","7345","4","13","Female","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","6788","0.0-3.0-0.0-0.0","spark_pilot_2","7345","4","13","Female","","","","","","","1989","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","16540","0.0-3.0-1.0-0.0","spark_pilot_2","7345","4","13","Female","","","","","","","2762.199999809265","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","29669","0.0-3.0-1.0-0.1","spark_pilot_2","7345","4","13","Female","","","","","","","4730.099999904633","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","41093","0.0-3.0-1.0-0.2","spark_pilot_2","7345","4","13","Female","","","","","","","3163.899999856949","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","55061","0.0-3.0-1.0-0.3","spark_pilot_2","7345","4","13","Female","","","","","","","823.1999998092651","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","66989","0.0-3.0-1.0-0.4","spark_pilot_2","7345","4","13","Female","","","","","","","509.5","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","75397","0.0-3.0-1.0-0.5","spark_pilot_2","7345","4","13","Female","","","","","","","587.6999998092651","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","84701","0.0-3.0-1.0-0.6","spark_pilot_2","7345","4","13","Female","","","","","","","491.89999985694885","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","92876","0.0-3.0-1.0-0.7","spark_pilot_2","7345","4","13","Female","","","","","","","1147.3999998569489","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","96894","0.0-3.0-2.0-0.0","spark_pilot_2","7345","4","13","Female","","false","","","","","[1033.5]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","97400","0.0-3.0-2.0-1.0","spark_pilot_2","7345","4","13","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","101421","0.0-3.0-2.0-0.1","spark_pilot_2","7345","4","13","Female","","false","","","","","[839.5999999046326]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","101932","0.0-3.0-2.0-1.1","spark_pilot_2","7345","4","13","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","105958","0.0-3.0-2.0-0.2","spark_pilot_2","7345","4","13","Female","","false","","","","","[563.2000000476837]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","106467","0.0-3.0-2.0-1.2","spark_pilot_2","7345","4","13","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","112981","0.0-3.0-3.0-0.0","spark_pilot_2","7345","4","13","Female","","","","","","","1782.2000000476837","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","116995","0.0-3.0-4.0-0.0","spark_pilot_2","7345","4","13","Female","","false","","","","","[927.0999999046326]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","117504","0.0-3.0-4.0-1.0","spark_pilot_2","7345","4","13","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","121529","0.0-3.0-4.0-0.1","spark_pilot_2","7345","4","13","Female","","false","","","","","[360.2999999523163]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","122041","0.0-3.0-4.0-1.1","spark_pilot_2","7345","4","13","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","126070","0.0-3.0-4.0-0.2","spark_pilot_2","7345","4","13","Female","","false","","","","","[367.2999999523163]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
