"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1353","0.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","9781","0.0-1.0","spark_pilot_2","7995","2","23","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":11457}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","12442","0.0-2.0","spark_pilot_2","7995","2","23","Female","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","16490","0.0-3.0-0.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","3989","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","25348","0.0-3.0-1.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","1826.3000001907349","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","34492","0.0-3.0-1.0-0.1","spark_pilot_2","7995","2","23","Female","","","","","","","727","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","43380","0.0-3.0-1.0-0.2","spark_pilot_2","7995","2","23","Female","","","","","","","625.1999998092651","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","57128","0.0-3.0-1.0-0.3","spark_pilot_2","7995","2","23","Female","","","","","","","593","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","69256","0.0-3.0-1.0-0.4","spark_pilot_2","7995","2","23","Female","","","","","","","701","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","77720","0.0-3.0-1.0-0.5","spark_pilot_2","7995","2","23","Female","","","","","","","635.4000000953674","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","86968","0.0-3.0-1.0-0.6","spark_pilot_2","7995","2","23","Female","","","","","","","432.90000009536743","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","94488","0.0-3.0-1.0-0.7","spark_pilot_2","7995","2","23","Female","","","","","","","483.09999990463257","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","98510","0.0-3.0-2.0-0.0","spark_pilot_2","7995","2","23","Female","","false","","","","","[505.69999980926514]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","99018","0.0-3.0-2.0-1.0","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","103036","0.0-3.0-2.0-0.1","spark_pilot_2","7995","2","23","Female","","false","","","","","[1018.9000000953674]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","103544","0.0-3.0-2.0-1.1","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","107570","0.0-3.0-2.0-0.2","spark_pilot_2","7995","2","23","Female","","false","","","","","[646.7000002861023]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","108075","0.0-3.0-2.0-1.2","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","113360","0.0-3.0-3.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","557.5999999046326","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","117389","0.0-3.0-4.0-0.0","spark_pilot_2","7995","2","23","Female","","false","","","","","[465.40000009536743]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","117902","0.0-3.0-4.0-1.0","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","121928","0.0-3.0-4.0-0.1","spark_pilot_2","7995","2","23","Female","","false","","","","","[412.30000019073486]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","122439","0.0-3.0-4.0-1.1","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","126467","0.0-3.0-4.0-0.2","spark_pilot_2","7995","2","23","Female","","false","","","","","[351.40000009536743]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","126971","0.0-3.0-4.0-1.2","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","137683","0.0-3.0-5.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","808.9000000953674","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","147411","0.0-3.0-5.0-0.1","spark_pilot_2","7995","2","23","Female","","","","","","","597.3000001907349","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","159180","0.0-3.0-5.0-0.2","spark_pilot_2","7995","2","23","Female","","","","","","","575","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","166736","0.0-3.0-5.0-0.3","spark_pilot_2","7995","2","23","Female","","","","","","","1181.0999999046326","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","170759","0.0-3.0-6.0-0.0","spark_pilot_2","7995","2","23","Female","","false","","","","","[393.80000019073486]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","30","171273","0.0-3.0-6.0-1.0","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","175291","0.0-3.0-6.0-0.1","spark_pilot_2","7995","2","23","Female","","false","","","","","[473.59999990463257]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","32","175792","0.0-3.0-6.0-1.1","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","33","179819","0.0-3.0-6.0-0.2","spark_pilot_2","7995","2","23","Female","","false","","","","","[856.5999999046326]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","34","180336","0.0-3.0-6.0-1.2","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","35","184362","0.0-3.0-6.0-0.3","spark_pilot_2","7995","2","23","Female","","false","","","","","[790.0999999046326]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","36","184872","0.0-3.0-6.0-1.3","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","37","203448","0.0-3.0-7.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","1653.5999999046326","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","38","212284","0.0-3.0-7.0-0.1","spark_pilot_2","7995","2","23","Female","","","","","","","570","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","39","218309","0.0-3.0-8.0-0.0","spark_pilot_2","7995","2","23","Female","","false","","","","","[438.59999990463257,401.40000009536743]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","40","218829","0.0-3.0-8.0-1.0","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","41","224858","0.0-3.0-8.0-0.1","spark_pilot_2","7995","2","23","Female","","false","","","","","[688.2000002861023,1030.2000002861023]","./assets/img/space/7.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","42","225370","0.0-3.0-8.0-1.1","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","43","231413","0.0-3.0-8.0-0.2","spark_pilot_2","7995","2","23","Female","","false","","","","","[667.6999998092651,642]","./assets/img/space/8.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","44","231921","0.0-3.0-8.0-1.2","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","45","237966","0.0-3.0-8.0-0.3","spark_pilot_2","7995","2","23","Female","","false","","","","","[364.7999997138977,320.7000002861023]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","46","238479","0.0-3.0-8.0-1.3","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","47","244515","0.0-3.0-8.0-0.4","spark_pilot_2","7995","2","23","Female","","false","","","","","[583.8999996185303,314.2999997138977]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","48","245018","0.0-3.0-8.0-1.4","spark_pilot_2","7995","2","23","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","49","256398","0.0-3.0-9.0-0.0","spark_pilot_2","7995","2","23","Female","","","","","","","1034.0999999046326","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
