"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","295","1828800","0.0-5.0-2.1-1.51","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","3","","",""
"revaluation","296","1834803","0.0-5.0-2.1-0.52","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1095,1783]","./assets/img/ocean/memory/32.jpg","[""ArrowUp"",""ArrowRight""]","value training","ocean","10","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","ArrowUp,ArrowRight","false","","","revaluation","2","4","","",""
"html-keyboard-response","297","1835304","0.0-5.0-2.1-1.52","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","5","","",""
"revaluation","298","1839308","0.0-5.0-2.1-0.53","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1047]","./assets/img/ocean/catch/5.jpg","[""ArrowDown""]","value training","ocean","-10","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","ArrowDown","true","","","revaluation","2","6","","",""
"html-keyboard-response","299","1839809","0.0-5.0-2.1-1.53","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","7","","",""
"revaluation","300","1843812","0.0-5.0-2.1-0.54","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/memory/23.jpg","[]","value training","ocean","-5","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","","false","","","revaluation","2","8","","",""
"html-keyboard-response","301","1844313","0.0-5.0-2.1-1.54","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","9","","",""
"revaluation","302","1850318","0.0-5.0-2.1-0.55","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1813,693]","./assets/img/ocean/memory/17.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","17","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","ArrowDown,ArrowRight","false","","","revaluation","2","10","","",""
"html-keyboard-response","303","1850819","0.0-5.0-2.1-1.55","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","11","","",""
"revaluation","304","1854822","0.0-5.0-2.1-0.56","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1459]","./assets/img/ocean/catch/1.jpg","[""spaceBar""]","value training","ocean","0","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","true","spaceBar","true","","","revaluation","2","12","","",""
"html-keyboard-response","305","1855323","0.0-5.0-2.1-1.56","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","13","","",""
"revaluation","306","1861327","0.0-5.0-2.1-0.57","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1163,1058]","./assets/img/ocean/memory/24.jpg","[""ArrowDown"",""ArrowLeft""]","value training","ocean","5","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","ArrowDown,ArrowLeft","false","","","revaluation","2","14","","",""
"html-keyboard-response","307","1861828","0.0-5.0-2.1-1.57","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","15","","",""
"revaluation","308","1867834","0.0-5.0-2.1-0.58","spark_pilot_2","7515","7","23","Male","","","false","","","","","[666,1232]","./assets/img/ocean/memory/37.jpg","[""ArrowDown"",""ArrowLeft""]","value training","ocean","5","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","ArrowDown,ArrowLeft","false","","","revaluation","2","16","","",""
"html-keyboard-response","309","1868334","0.0-5.0-2.1-1.58","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","17","","",""
