"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1455","0.0-0.0","spark_pilot_2","7120","4","8","Female","[{""event"":""blur"",""trial"":1,""time"":4397},{""event"":""focus"",""trial"":1,""time"":6728},{""event"":""fullscreenenter"",""trial"":2,""time"":14221},{""event"":""fullscreenexit"",""trial"":3,""time"":17754}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","12734","0.0-1.0","spark_pilot_2","7120","4","8","Female","[{""event"":""blur"",""trial"":1,""time"":4397},{""event"":""focus"",""trial"":1,""time"":6728},{""event"":""fullscreenenter"",""trial"":2,""time"":14221},{""event"":""fullscreenexit"",""trial"":3,""time"":17754}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","15212","0.0-2.0","spark_pilot_2","7120","4","8","Female","[{""event"":""blur"",""trial"":1,""time"":4397},{""event"":""focus"",""trial"":1,""time"":6728},{""event"":""fullscreenenter"",""trial"":2,""time"":14221},{""event"":""fullscreenexit"",""trial"":3,""time"":17754}]","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","20416","0.0-3.0-0.0-0.0","spark_pilot_2","7120","4","8","Female","","","","","","","5072","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","30224","0.0-3.0-1.0-0.0","spark_pilot_2","7120","4","8","Female","","","","","","","2814.7000000029802","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","41578","0.0-3.0-1.0-0.1","spark_pilot_2","7120","4","8","Female","","","","","","","2925.7999999970198","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","52302","0.0-3.0-1.0-0.2","spark_pilot_2","7120","4","8","Female","","","","","","","2438.6999999955297","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","67219","0.0-3.0-1.0-0.3","spark_pilot_2","7120","4","8","Female","","","","","","","1739.3999999985099","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","80550","0.0-3.0-1.0-0.4","spark_pilot_2","7120","4","8","Female","","","","","","","1887","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","89306","0.0-3.0-1.0-0.5","spark_pilot_2","7120","4","8","Female","","","","","","","909.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
