"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","browser_interaction","low_quality","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","1","5","0.0-1.0","","{""task_version"":""sailing_part1_v1"",""task_condition"":""good"",""boats"":[""C"",""B"",""A"",""D""],""boats_demo"":[""F"",""G"",""E"",""H""],""islands"":[""A"",""B""],""subject_id"":""15168"",""age"":""19"",""gender"":""Male""}","[{""event"":""blur"",""trial"":2,""time"":7121}]","false","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","8965","0.0-2.0","","","[{""event"":""blur"",""trial"":2,""time"":7121},{""event"":""focus"",""trial"":3,""time"":13021},{""event"":""fullscreenenter"",""trial"":3,""time"":13128}]","false","true","false","[]","[]","[]","","","","","","","","","","","","","","","","",""
"fullscreen","3","14105","0.0-3.0","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","4","16581","0.0-4.0-0.0","","","","","","","","","","2400","audio/beep_loop.wav"," ","","","","","","","","","","","","","",""
"audio-test","5","18977","0.0-4.0-1.0","","","","","","","","","","null","audio/turtle.mp3","","3","","","","","","","","","","","","",""
"audio-test","6","20913","0.0-4.0-2.0","","","","","","","","","","null","audio/shark.mp3","","2","","","","","","","","","","","","",""
"sailing-instructions","7","67622","0.0-5.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","8","71589","0.0-5.0-0.0-1.0-0.0","","","","","","false","","","","","","","","2826.7000000000116","","null","","null","null","arrowleft","0","null","null","","",""
"sailing-trial","9","73617","0.0-5.0-0.0-1.0-1.0","","","","","","false","","","","","","","","877.0999999999767","","null","","null","null","arrowright","1","null","null","","",""
"sailing-trial","10","77194","0.0-5.0-0.0-1.0-2.0","","","","","","false","","","","","","","","2452.5999999999767","","null","","null","null","arrowright","1","null","null","","",""
"sailing-instructions","11","128327","0.0-5.0-0.0-2.0","","","","","","","","","","","","","","null","null","null","null","0","null","","","","","","",""
"sailing-trial","12","133687","0.0-5.0-0.0-3.0-0.0","","","","","","false","","","","","","","","null","","1991","","2","1","null","null","arrowleft","[1,1,1,1]","","",""
"sailing-trial","13","136608","0.0-5.0-0.0-3.0-1.0","","","","","","false","","","","","","","","null","","513.7999999999884","","3","1","null","null","arrowright","[1,1,1,1]","","",""
"sailing-trial","14","140441","0.0-5.0-0.0-3.0-2.0","","","","","","false","","","","","","","","null","","948.2000000000116","","2","0","null","null","arrowleft","[0,0,0,0]","","",""
"sailing-instructions","15","147825","0.0-5.0-0.0-4.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","16","163659","0.0-5.0-0.0-5.0","","","","","","","","","","12185.200000000012","","","","","","","","","","","","","","[""true"",""true"",""false"",""true""]","0",""
"sailing-instructions","17","238420","0.0-6.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","18","249417","0.0-6.0-0.0-1.0","","","","","","","","","","5296","","","","","","","","","","","","","","[""true"",""true"",""true""]","1",""
"sailing-instructions","19","311840","0.0-6.0-0.1-0.1","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","20","326630","0.0-6.0-0.1-1.1","","","","","","","","","","8749.20000000007","","","","","","","","","","","","","","[""true"",""false"",""false""]","1",""
"sailing-instructions","21","344283","0.0-7.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","22","349078","0.0-7.0-0.0-1.0-0.0","","","","","","false","","","","","","","","null","","2302.5999999999767","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","23","352515","0.0-7.0-0.0-1.0-1.0","","","","","","false","","","","","","","","null","","1496.5999999999767","","1","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","24","356091","0.0-7.0-0.0-1.0-2.0","","","","","","false","","","","","","","","null","","1607.1999999999534","","2","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","25","358789","0.0-7.0-0.0-1.0-3.0","","","","","","false","","","","","","","","null","","839","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-comprehension","26","365901","0.0-7.0-0.0-2.0","","","","","","","","","","5251.099999999977","","","","","","","","","","","","","","[""false""]","0",""
"sailing-instructions","27","376058","0.0-8.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-comprehension","28","378790","0.0-8.0-0.0-1.0","","","","","","","","","","1579.9000000000233","","","","","","","","","","","","","","[""true""]","0",""
"sailing-instructions","29","447478","0.0-9.0-0.0-0.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","30","453176","0.0-9.0-0.0-1.0-0.0","","","","","","false","","","","","","","","1174.5","","834.6999999999534","","1","1","arrowleft","0","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","31","458036","0.0-9.0-0.0-1.0-1.0","","","","","","false","","","","","","","","1047.5","","77.59999999997672","","2","0","arrowright","1","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","32","462070","0.0-9.0-0.0-1.0-2.0","","","","","","false","","","","","","","","null","","1758.3000000000466","","0","0","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","33","467076","0.0-9.0-0.0-1.0-3.0","","","","","","false","","","","","","","","815.3000000000466","","1124.6999999999534","","2","0","arrowright","1","arrowleft","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","34","469819","0.0-9.0-0.0-1.0-4.0","","","","","","false","","","","","","","","null","","837.5999999999767","","3","1","null","null","arrowup","[0.2,0.8,0.2,0.8]","","",""
"sailing-trial","35","474798","0.0-9.0-0.0-1.0-5.0","","","","","","false","","","","","","","","1018.5999999999767","","972.4000000000233","","1","1","arrowleft","0","arrowright","[0.2,0.8,0.2,0.8]","","",""
"sailing-instructions","36","500740","0.0-10.0","","","","","","","","","","","","","","null","null","null","null","null","null","","","","","","",""
"sailing-trial","37","506719","0.0-11.0-0.0","","","","","","false","","","","","","","","2255.399999999907","","190.70000000006985","","1","0","arrowleft","0","arrowright","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","38","510010","0.0-11.0-1.0","","","","","","false","","","","","","","","null","","804.8999999999069","","1","1","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","39","514499","0.0-11.0-2.0","","","","","","false","","","","","","","","597.5999999999767","","975.6999999999534","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","40","517978","0.0-11.0-3.0","","","","","","false","","","","","","","","null","","832.9000000000233","","2","0","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","41","522610","0.0-11.0-4.0","","","","","","false","","","","","","","","739.0999999999767","","395.5999999999767","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","42","526775","0.0-11.0-5.0","","","","","","false","","","","","","","","null","","929.7999999999302","","0","1","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","43","530723","0.0-11.0-6.0","","","","","","false","","","","","","","","692.6999999999534","","447.89999999990687","","2","0","arrowright","1","arrowleft","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","44","532941","0.0-11.0-7.0","","","","","","false","","","","","","","","null","","652.5","","2","0","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","45","536968","0.0-11.0-8.0","","","","","","false","","","","","","","","570.7999999999302","","375.79999999993015","","1","0","arrowleft","0","arrowright","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","46","540016","0.0-11.0-9.0","","","","","","false","","","","","","","","null","","664.9000000000233","","2","0","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","47","545467","0.0-11.0-10.0","","","","","","false","","","","","","","","1368","","640.7000000000698","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","48","547992","0.0-11.0-11.0","","","","","","false","","","","","","","","null","","758.6000000000931","","0","0","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","49","552515","0.0-11.0-12.0","","","","","","false","","","","","","","","683.3000000000466","","432.4000000000233","","2","1","arrowright","1","arrowleft","[0.675,0.325,0.15,0.85]","","",""
"sailing-trial","50","555824","0.0-11.0-13.0","","","","","","false","","","","","","","","null","","864.1999999999534","","1","0","null","null","arrowup","[0.675,0.325,0.15,0.85]","","",""
