"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","1298","0.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","21032","0.0-1.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":23013},{""event"":""blur"",""trial"":18,""time"":129391},{""event"":""focus"",""trial"":20,""time"":134228},{""event"":""blur"",""trial"":60,""time"":330611},{""event"":""focus"",""trial"":60,""time"":335263},{""event"":""blur"",""trial"":65,""time"":392209},{""event"":""focus"",""trial"":66,""time"":394691},{""event"":""blur"",""trial"":67,""time"":403792},{""event"":""focus"",""trial"":67,""time"":404320}]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","23995","0.0-2.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","30375","0.0-3.0-0.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","6261","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","","","","","",""
"audio-button-response","4","34039","0.0-3.0-0.1-0.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","2651","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","","","","","",""
"audio-button-response","5","36623","0.0-3.0-0.2-0.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1560","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","6","44686","0.0-3.0-1.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1092.5999999642372","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","53999","0.0-3.0-1.0-0.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","915.2999999523163","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","62807","0.0-3.0-1.0-0.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","563.1000000238419","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","77230","0.0-3.0-1.0-0.3","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1296","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","89615","0.0-3.0-1.0-0.4","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","981","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","11","98599","0.0-3.0-1.0-0.5","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1165.1000000238419","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","12","108302","0.0-3.0-1.0-0.6","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","898.5","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","13","117023","0.0-3.0-1.0-0.7","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1699.7000000476837","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","14","121034","0.0-3.0-2.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[451.5]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","15","121541","0.0-3.0-2.0-1.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","16","125557","0.0-3.0-2.0-0.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[843]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","17","126070","0.0-3.0-2.0-1.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":23013},{""event"":""blur"",""trial"":18,""time"":129391},{""event"":""focus"",""trial"":20,""time"":134228},{""event"":""blur"",""trial"":60,""time"":330611},{""event"":""focus"",""trial"":60,""time"":335263},{""event"":""blur"",""trial"":65,""time"":392209},{""event"":""focus"",""trial"":66,""time"":394691},{""event"":""blur"",""trial"":67,""time"":403792},{""event"":""focus"",""trial"":67,""time"":404320}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","18","130083","0.0-3.0-2.0-0.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[570.1999999880791]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","19","130593","0.0-3.0-2.0-1.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":23013},{""event"":""blur"",""trial"":18,""time"":129391},{""event"":""focus"",""trial"":20,""time"":134228},{""event"":""blur"",""trial"":60,""time"":330611},{""event"":""focus"",""trial"":60,""time"":335263},{""event"":""blur"",""trial"":65,""time"":392209},{""event"":""focus"",""trial"":66,""time"":394691},{""event"":""blur"",""trial"":67,""time"":403792},{""event"":""focus"",""trial"":67,""time"":404320}]","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","20","140016","0.0-3.0-3.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","4732.300000011921","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","21","144036","0.0-3.0-4.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[1568.4000000357628]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","22","144545","0.0-3.0-4.0-1.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","23","148568","0.0-3.0-4.0-0.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[1158.8999999761581]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","24","149082","0.0-3.0-4.0-1.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","25","153109","0.0-3.0-4.0-0.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[574.5]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","26","153616","0.0-3.0-4.0-1.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","27","165383","0.0-3.0-5.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1939.5","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","28","175558","0.0-3.0-5.0-0.1","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1065.4000000357628","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","29","187503","0.0-3.0-5.0-0.2","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","768.9000000357628","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","30","194983","0.0-3.0-5.0-0.3","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","1129.3999999761581","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","31","199006","0.0-3.0-6.0-0.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","false","","","","","[985.8000000119209]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","32","199511","0.0-3.0-6.0-1.0","pilot_wm_v1","59a07638bfd73c00010ea394","1","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
