"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","1031","0.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","[{""event"":""blur"",""trial"":1,""time"":6639},{""event"":""focus"",""trial"":1,""time"":6990},{""event"":""fullscreenenter"",""trial"":2,""time"":19750}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","16494","0.0-1.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","[{""event"":""blur"",""trial"":1,""time"":6639},{""event"":""focus"",""trial"":1,""time"":6990},{""event"":""fullscreenenter"",""trial"":2,""time"":19750}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","20720","0.0-2.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","22645","0.0-3.0-0.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","1863","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","4","30793","0.0-3.0-1.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","1149.199999999255","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","5","40078","0.0-3.0-1.0-0.1","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","856.3999999985099","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","49004","0.0-3.0-1.0-0.2","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","645.5","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","62949","0.0-3.0-1.0-0.3","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","763.2999999988824","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","75127","0.0-3.0-1.0-0.4","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","727.3000000007451","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","83696","0.0-3.0-1.0-0.5","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","722.0999999996275","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","93584","0.0-3.0-1.0-0.6","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","1050.199999999255","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","11","102265","0.0-3.0-1.0-0.7","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","1620.699999999255","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","12","106286","0.0-3.0-2.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","false","","","","[577.5999999996275]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","13","106789","0.0-3.0-2.0-1.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","14","110795","0.0-3.0-2.0-0.1","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","false","","","","[1029.7999999988824]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","15","111297","0.0-3.0-2.0-1.1","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","16","115303","0.0-3.0-2.0-0.2","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","false","","","","[447.40000000037253]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","17","115805","0.0-3.0-2.0-1.2","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","18","121789","0.0-3.0-3.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","1269.4000000003725","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","19","125793","0.0-3.0-4.0-0.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","false","","","","[536.5]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","20","126295","0.0-3.0-4.0-1.0","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","21","130300","0.0-3.0-4.0-0.1","pilot_wm_v1","5fb5dfa5df577200090d9dc4","3","null","null","true","","","false","","","","[491.2000000011176]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
