"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","1927","0.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","12598","0.0-1.0","pilot_wm_v1","null","3","null","null","true","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":17995},{""event"":""blur"",""trial"":416,""time"":1706743},{""event"":""focus"",""trial"":417,""time"":1708215}]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","18979","0.0-2.0","pilot_wm_v1","null","3","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","20693","0.0-3.0-0.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","1707","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","4","33409","0.0-3.0-1.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","5746.20000000298","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","5","43711","0.0-3.0-1.0-0.1","pilot_wm_v1","null","3","null","null","true","","","","","","","1902.6000000089407","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","55777","0.0-3.0-1.0-0.2","pilot_wm_v1","null","3","null","null","true","","","","","","","3814.7999999970198","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","70313","0.0-3.0-1.0-0.3","pilot_wm_v1","null","3","null","null","true","","","","","","","1395.2000000029802","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","82662","0.0-3.0-1.0-0.4","pilot_wm_v1","null","3","null","null","true","","","","","","","954.7999999970198","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","91259","0.0-3.0-1.0-0.5","pilot_wm_v1","null","3","null","null","true","","","","","","","779.5999999940395","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","100826","0.0-3.0-1.0-0.6","pilot_wm_v1","null","3","null","null","true","","","","","","","766.9000000059605","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","11","108676","0.0-3.0-1.0-0.7","pilot_wm_v1","null","3","null","null","true","","","","","","","824.7000000029802","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","12","112692","0.0-3.0-2.0-0.0","pilot_wm_v1","null","3","null","null","true","","false","","","","","[516.9000000059605]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","13","113196","0.0-3.0-2.0-1.0","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","14","117205","0.0-3.0-2.0-0.1","pilot_wm_v1","null","3","null","null","true","","false","","","","","[863]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","15","117708","0.0-3.0-2.0-1.1","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","16","121716","0.0-3.0-2.0-0.2","pilot_wm_v1","null","3","null","null","true","","false","","","","","[251.20000000298023]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","17","122219","0.0-3.0-2.0-1.2","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","18","129464","0.0-3.0-3.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","2545.2999999970198","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","19","133470","0.0-3.0-4.0-0.0","pilot_wm_v1","null","3","null","null","true","","false","","","","","[503.09999999403954]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","20","133973","0.0-3.0-4.0-1.0","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","21","137981","0.0-3.0-4.0-0.1","pilot_wm_v1","null","3","null","null","true","","false","","","","","[358.70000000298023]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","22","138483","0.0-3.0-4.0-1.1","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","23","142492","0.0-3.0-4.0-0.2","pilot_wm_v1","null","3","null","null","true","","false","","","","","[322.80000001192093]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","24","142994","0.0-3.0-4.0-1.2","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","25","154082","0.0-3.0-5.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","1248.7000000029802","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","26","165827","0.0-3.0-5.0-0.1","pilot_wm_v1","null","3","null","null","true","","","","","","","2626.2000000029802","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","27","178311","0.0-3.0-5.0-0.2","pilot_wm_v1","null","3","null","null","true","","","","","","","1317","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","28","185661","0.0-3.0-5.0-0.3","pilot_wm_v1","null","3","null","null","true","","","","","","","997.5","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","29","189667","0.0-3.0-6.0-0.0","pilot_wm_v1","null","3","null","null","true","","false","","","","","[945]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","","","",""
"html-keyboard-response","30","190170","0.0-3.0-6.0-1.0","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","31","194178","0.0-3.0-6.0-0.1","pilot_wm_v1","null","3","null","null","true","","false","","","","","[413.5]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","32","194681","0.0-3.0-6.0-1.1","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","33","198689","0.0-3.0-6.0-0.2","pilot_wm_v1","null","3","null","null","true","","false","","","","","[405.79999999701977]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","","","",""
"html-keyboard-response","34","199192","0.0-3.0-6.0-1.2","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","35","203200","0.0-3.0-6.0-0.3","pilot_wm_v1","null","3","null","null","true","","false","","","","","[380.20000000298023]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","","","",""
"html-keyboard-response","36","203703","0.0-3.0-6.0-1.3","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","37","222948","0.0-3.0-7.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","2449.199999988079","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","38","232414","0.0-3.0-7.0-0.1","pilot_wm_v1","null","3","null","null","true","","","","","","","1217","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","39","238423","0.0-3.0-8.0-0.0","pilot_wm_v1","null","3","null","null","true","","false","","","","","[557.0999999940395,503.80000001192093]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","40","238927","0.0-3.0-8.0-1.0","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","41","244936","0.0-3.0-8.0-0.1","pilot_wm_v1","null","3","null","null","true","","false","","","","","[435.40000000596046,829.5]","./assets/img/space/7.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","","","",""
"html-keyboard-response","42","245439","0.0-3.0-8.0-1.1","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","43","251449","0.0-3.0-8.0-0.2","pilot_wm_v1","null","3","null","null","true","","false","","","","","[695.2000000029802,418.1000000089407]","./assets/img/space/8.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","","","",""
"html-keyboard-response","44","251952","0.0-3.0-8.0-1.2","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","45","257962","0.0-3.0-8.0-0.3","pilot_wm_v1","null","3","null","null","true","","false","","","","","[348.70000000298023,302.5]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","46","258466","0.0-3.0-8.0-1.3","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","47","264475","0.0-3.0-8.0-0.4","pilot_wm_v1","null","3","null","null","true","","false","","","","","[427.09999999403954,291.5]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","","","",""
"html-keyboard-response","48","264977","0.0-3.0-8.0-1.4","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","49","284713","0.0-3.0-9.0-0.0","pilot_wm_v1","null","3","null","null","true","","","","","","","9405.39999999106","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","50","293699","0.0-3.0-9.0-0.1","pilot_wm_v1","null","3","null","null","true","","","","","","","1831.2999999970198","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","51","297705","0.0-3.0-10.0-0.0","pilot_wm_v1","null","3","null","null","true","","false","","","","","[576.3999999910593]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","","","",""
"html-keyboard-response","52","298208","0.0-3.0-10.0-1.0","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","53","302216","0.0-3.0-10.0-0.1","pilot_wm_v1","null","3","null","null","true","","true","","","","","[]","./assets/img/space/catch/1.jpg","[]","catch practice","space","-5","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","","true","","","","","","","","","",""
"html-keyboard-response","54","302719","0.0-3.0-10.0-1.1","pilot_wm_v1","null","3","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
