"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","1388","0.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","26326","0.0-1.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":34877},{""event"":""blur"",""trial"":5,""time"":65274},{""event"":""focus"",""trial"":5,""time"":73209},{""event"":""blur"",""trial"":7,""time"":87225},{""event"":""focus"",""trial"":7,""time"":105690},{""event"":""blur"",""trial"":72,""time"":520846},{""event"":""focus"",""trial"":72,""time"":532401}]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","35870","0.0-2.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","39145","0.0-3.0-0.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","3239","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","4","53555","0.0-3.0-1.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":34877},{""event"":""blur"",""trial"":5,""time"":65274},{""event"":""focus"",""trial"":5,""time"":73209},{""event"":""blur"",""trial"":7,""time"":87225},{""event"":""focus"",""trial"":7,""time"":105690},{""event"":""blur"",""trial"":72,""time"":520846},{""event"":""focus"",""trial"":72,""time"":532401}]","7419.5","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","5","75042","0.0-3.0-1.0-0.1","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","12977.799999952316","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","84323","0.0-3.0-1.0-0.2","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":34877},{""event"":""blur"",""trial"":5,""time"":65274},{""event"":""focus"",""trial"":5,""time"":73209},{""event"":""blur"",""trial"":7,""time"":87225},{""event"":""focus"",""trial"":7,""time"":105690},{""event"":""blur"",""trial"":72,""time"":520846},{""event"":""focus"",""trial"":72,""time"":532401}]","995.5","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","108948","0.0-3.0-1.0-0.3","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","11444.300000011921","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","121771","0.0-3.0-1.0-0.4","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","1378.0999999642372","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","130648","0.0-3.0-1.0-0.5","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","1024.9000000357628","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","158044","0.0-3.0-1.0-0.6","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","18569.599999964237","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","11","166373","0.0-3.0-1.0-0.7","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","1263.3999999761581","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","12","170395","0.0-3.0-2.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","false","","","","","[689.8000000119209]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","13","170897","0.0-3.0-2.0-1.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","14","174901","0.0-3.0-2.0-0.1","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","false","","","","","[874]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","15","175402","0.0-3.0-2.0-1.1","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","16","179405","0.0-3.0-2.0-0.2","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","false","","","","","[1098]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","","","",""
"html-keyboard-response","17","179907","0.0-3.0-2.0-1.2","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","18","185416","0.0-3.0-3.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","791.1000000238419","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"revaluation","19","189420","0.0-3.0-4.0-0.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","false","","","","","[767.6999999880791]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
"html-keyboard-response","20","189922","0.0-3.0-4.0-1.0","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"revaluation","21","193925","0.0-3.0-4.0-0.1","pilot_wm_v1","666def2522abf8b4a768b3cb","2","null","null","true","","false","","","","","[1379.6000000238419]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","","","",""
