"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","6392","0.0-0.0","pilot_wm_v1","null","1","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","29993","0.0-1.0","pilot_wm_v1","null","1","null","null","true","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":32184}]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","33165","0.0-2.0","pilot_wm_v1","null","1","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","39672","0.0-3.0-0.0-0.0","pilot_wm_v1","null","1","null","null","true","","","","","","","6310","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","","","","","",""
"audio-button-response","4","43110","0.0-3.0-0.1-0.1","pilot_wm_v1","null","1","null","null","true","","","","","","","2432","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","5","53585","0.0-3.0-1.0-0.0","pilot_wm_v1","null","1","null","null","true","","","","","","","3488.5","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","63593","0.0-3.0-1.0-0.1","pilot_wm_v1","null","1","null","null","true","","","","","","","1579.199999988079","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","72722","0.0-3.0-1.0-0.2","pilot_wm_v1","null","1","null","null","true","","","","","","","845.5","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","86618","0.0-3.0-1.0-0.3","pilot_wm_v1","null","1","null","null","true","","","","","","","711","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","99191","0.0-3.0-1.0-0.4","pilot_wm_v1","null","1","null","null","true","","","","","","","1127.7999999821186","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
