"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1191","0.0-0.0","pilot_wm_v1","null","8","null","null","false","[{""event"":""blur"",""trial"":1,""time"":3728},{""event"":""focus"",""trial"":1,""time"":5210},{""event"":""blur"",""trial"":1,""time"":5266},{""event"":""focus"",""trial"":1,""time"":5382},{""event"":""blur"",""trial"":1,""time"":8150},{""event"":""focus"",""trial"":1,""time"":14726},{""event"":""blur"",""trial"":1,""time"":14739},{""event"":""focus"",""trial"":1,""time"":18554},{""event"":""blur"",""trial"":1,""time"":20857},{""event"":""focus"",""trial"":1,""time"":26066},{""event"":""blur"",""trial"":2,""time"":41353},{""event"":""focus"",""trial"":2,""time"":43593},{""event"":""fullscreenenter"",""trial"":2,""time"":45031}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","41213","0.0-1.0","pilot_wm_v1","null","8","null","null","false","[{""event"":""blur"",""trial"":1,""time"":3728},{""event"":""focus"",""trial"":1,""time"":5210},{""event"":""blur"",""trial"":1,""time"":5266},{""event"":""focus"",""trial"":1,""time"":5382},{""event"":""blur"",""trial"":1,""time"":8150},{""event"":""focus"",""trial"":1,""time"":14726},{""event"":""blur"",""trial"":1,""time"":14739},{""event"":""focus"",""trial"":1,""time"":18554},{""event"":""blur"",""trial"":1,""time"":20857},{""event"":""focus"",""trial"":1,""time"":26066},{""event"":""blur"",""trial"":2,""time"":41353},{""event"":""focus"",""trial"":2,""time"":43593},{""event"":""fullscreenenter"",""trial"":2,""time"":45031}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","46011","0.0-2.0","pilot_wm_v1","null","8","null","null","false","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","50055","0.0-3.0-0.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","4021","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","","","",""
"audio-button-response","4","52162","0.0-3.0-0.1-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","1101","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","5","61637","0.0-3.0-1.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","2507.899999999907","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","71839","0.0-3.0-1.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","1799.6999999997206","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","81920","0.0-3.0-1.0-0.2","pilot_wm_v1","null","8","null","null","false","","","","","","","1831.2999999998137","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","95994","0.0-3.0-1.0-0.3","pilot_wm_v1","null","8","null","null","false","","","","","","","945.3999999999069","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","111708","0.0-3.0-1.0-0.4","pilot_wm_v1","null","8","null","null","false","","","","","","","4310.299999999814","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","120000","0.0-3.0-1.0-0.5","pilot_wm_v1","null","8","null","null","false","","","","","","","482.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","129488","0.0-3.0-1.0-0.6","pilot_wm_v1","null","8","null","null","false","","","","","","","690.5999999996275","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","12","137180","0.0-3.0-1.0-0.7","pilot_wm_v1","null","8","null","null","false","","","","","","","671.6999999997206","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","13","141211","0.0-3.0-2.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[1094.8999999999069]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","14","141725","0.0-3.0-2.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","15","145755","0.0-3.0-2.0-0.1","pilot_wm_v1","null","8","null","null","false","","","true","","","","[]","./assets/img/space/1.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","16","146271","0.0-3.0-2.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","17","150292","0.0-3.0-2.0-0.2","pilot_wm_v1","null","8","null","null","false","","","true","","","","[]","./assets/img/space/2.jpg","[]","first stage practice","space","-5","null","null","","false","","","","","","","",""
"html-keyboard-response","18","150794","0.0-3.0-2.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","19","156120","0.0-3.0-3.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","643.1000000000931","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","20","160147","0.0-3.0-4.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[343.70000000018626]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","21","160650","0.0-3.0-4.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","22","164674","0.0-3.0-4.0-0.1","pilot_wm_v1","null","8","null","null","false","","","false","","","","[229.10000000009313]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","23","165181","0.0-3.0-4.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","24","169201","0.0-3.0-4.0-0.2","pilot_wm_v1","null","8","null","null","false","","","false","","","","[754.0999999996275]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
