"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","1117","0.0-0.0","pilot_wm_v1","null","6","null","null","false","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","12654","0.0-1.0","pilot_wm_v1","null","6","null","null","false","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":21254}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","22233","0.0-2.0","pilot_wm_v1","null","6","null","null","false","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","24190","0.0-3.0-0.0-0.0","pilot_wm_v1","null","6","null","null","false","","","","","","","1877","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","33278","0.0-3.0-1.0-0.0","pilot_wm_v1","null","6","null","null","false","","","","","","","2083.5","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","42773","0.0-3.0-1.0-0.1","pilot_wm_v1","null","6","null","null","false","","","","","","","1050.1000000014901","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","51958","0.0-3.0-1.0-0.2","pilot_wm_v1","null","6","null","null","false","","","","","","","911.1000000014901","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","65957","0.0-3.0-1.0-0.3","pilot_wm_v1","null","6","null","null","false","","","","","","","817.8999999985099","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","79353","0.0-3.0-1.0-0.4","pilot_wm_v1","null","6","null","null","false","","","","","","","1945.6999999955297","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","88417","0.0-3.0-1.0-0.5","pilot_wm_v1","null","6","null","null","false","","","","","","","1195.2999999970198","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","98670","0.0-3.0-1.0-0.6","pilot_wm_v1","null","6","null","null","false","","","","","","","1409.8999999985099","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","107772","0.0-3.0-1.0-0.7","pilot_wm_v1","null","6","null","null","false","","","","","","","2051.1999999955297","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","111805","0.0-3.0-2.0-0.0","pilot_wm_v1","null","6","null","null","false","","false","","","","","[350.6000000014901]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","112308","0.0-3.0-2.0-1.0","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","116317","0.0-3.0-2.0-0.1","pilot_wm_v1","null","6","null","null","false","","false","","","","","[1517.6999999955297]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","116819","0.0-3.0-2.0-1.1","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","120827","0.0-3.0-2.0-0.2","pilot_wm_v1","null","6","null","null","false","","false","","","","","[1488.5]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","121329","0.0-3.0-2.0-1.2","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","128343","0.0-3.0-3.0-0.0","pilot_wm_v1","null","6","null","null","false","","","","","","","2300.5","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","132350","0.0-3.0-4.0-0.0","pilot_wm_v1","null","6","null","null","false","","false","","","","","[405.29999999701977]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","20","132851","0.0-3.0-4.0-1.0","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","21","136858","0.0-3.0-4.0-0.1","pilot_wm_v1","null","6","null","null","false","","false","","","","","[516.1999999955297]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","22","137360","0.0-3.0-4.0-1.1","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","23","141367","0.0-3.0-4.0-0.2","pilot_wm_v1","null","6","null","null","false","","false","","","","","[526.9000000059605]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","24","141869","0.0-3.0-4.0-1.2","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","25","153639","0.0-3.0-5.0-0.0","pilot_wm_v1","null","6","null","null","false","","","","","","","1888.5","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","26","164739","0.0-3.0-5.0-0.1","pilot_wm_v1","null","6","null","null","false","","","","","","","1925.6999999955297","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","177967","0.0-3.0-5.0-0.2","pilot_wm_v1","null","6","null","null","false","","","","","","","2009.8999999985099","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","185752","0.0-3.0-5.0-0.3","pilot_wm_v1","null","6","null","null","false","","","","","","","1388.8999999985099","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","29","189758","0.0-3.0-6.0-0.0","pilot_wm_v1","null","6","null","null","false","","false","","","","","[824.5]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","30","190261","0.0-3.0-6.0-1.0","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","31","194267","0.0-3.0-6.0-0.1","pilot_wm_v1","null","6","null","null","false","","false","","","","","[906.7999999970198]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","32","194769","0.0-3.0-6.0-1.1","pilot_wm_v1","null","6","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
