"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1342","0.0-0.0","spark_pilot_norest","9998","8","21","Male","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","22136","0.0-1.0","spark_pilot_norest","9998","8","21","Male","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":29680},{""event"":""blur"",""trial"":601,""time"":1993555},{""event"":""fullscreenexit"",""trial"":601,""time"":2000607},{""event"":""focus"",""trial"":601,""time"":2000659}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","30623","0.0-2.0","spark_pilot_norest","9998","8","21","Male","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","37103","0.0-3.0","spark_pilot_norest","9998","8","21","Male","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","38287","0.0-4.0-0.0-0.0","spark_pilot_norest","9998","8","21","Male","","","","","","","","1061","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","5","49703","0.0-4.0-1.0-0.0","spark_pilot_norest","9998","8","21","Male","","","","","","","","4459.000000000007","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","60010","0.0-4.0-1.0-0.1","spark_pilot_norest","9998","8","21","Male","","","","","","","","1918","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","77126","0.0-4.0-1.0-0.2","spark_pilot_norest","9998","8","21","Male","","","","","","","","8875.999999999985","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","92145","0.0-4.0-1.0-0.3","spark_pilot_norest","9998","8","21","Male","","","","","","","","1888","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","105859","0.0-4.0-1.0-0.4","spark_pilot_norest","9998","8","21","Male","","","","","","","","2316.0000000000146","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","114190","0.0-4.0-1.0-0.5","spark_pilot_norest","9998","8","21","Male","","","","","","","","524","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","123613","0.0-4.0-1.0-0.6","spark_pilot_norest","9998","8","21","Male","","","","","","","","634.9999999999854","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
