"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1140","0.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","12297","0.0-1.0","spark_pilot_norest","8357","4","18","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":18089}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","18991","0.0-2.0","spark_pilot_norest","8357","4","18","Female","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","20444","0.0-3.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","29338","0.0-4.0-0.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","8861","./assets/audio/audiotest/turtle.mp3","4","audio_test","","","","","","","","","","","",""
"audio-button-response","5","32621","0.0-4.0-0.1-0.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","2280","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","6","41456","0.0-4.0-1.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","1875","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","51526","0.0-4.0-1.0-0.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","1679","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","60680","0.0-4.0-1.0-0.2","spark_pilot_norest","8357","4","18","Female","","","","","","","","913","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","74751","0.0-4.0-1.0-0.3","spark_pilot_norest","8357","4","18","Female","","","","","","","","938.9999999999854","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","88074","0.0-4.0-1.0-0.4","spark_pilot_norest","8357","4","18","Female","","","","","","","","928","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","96691","0.0-4.0-1.0-0.5","spark_pilot_norest","8357","4","18","Female","","","","","","","","809.0000000000146","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","12","106698","0.0-4.0-1.0-0.6","spark_pilot_norest","8357","4","18","Female","","","","","","","","1216","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","13","114845","0.0-4.0-1.0-0.7","spark_pilot_norest","8357","4","18","Female","","","","","","","","1127","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","14","118863","0.0-4.0-2.0-0.0","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[651]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","119365","0.0-4.0-2.0-1.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","123369","0.0-4.0-2.0-0.1","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[1046]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","17","123871","0.0-4.0-2.0-1.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","18","127876","0.0-4.0-2.0-0.2","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[485]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","19","128377","0.0-4.0-2.0-1.2","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","20","134897","0.0-4.0-3.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","1836","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","21","138901","0.0-4.0-4.0-0.0","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[550.9999999999709]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","22","139402","0.0-4.0-4.0-1.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","23","143406","0.0-4.0-4.0-0.1","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[380]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","24","143908","0.0-4.0-4.0-1.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","25","147912","0.0-4.0-4.0-0.2","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[641]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","",""
"html-keyboard-response","26","148414","0.0-4.0-4.0-1.2","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","27","159491","0.0-4.0-5.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","1249","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","28","170036","0.0-4.0-5.0-0.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","1430","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","",""
"learning-instructions","29","184661","0.0-4.0-5.0-0.2","spark_pilot_norest","8357","4","18","Female","","","","","","","","2683.000000000029","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","30","192333","0.0-4.0-5.0-0.3","spark_pilot_norest","8357","4","18","Female","","","","","","","","1320","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","31","196339","0.0-4.0-6.0-0.0","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[482]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","",""
"html-keyboard-response","32","196841","0.0-4.0-6.0-1.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","33","200845","0.0-4.0-6.0-0.1","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[1157]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","",""
"html-keyboard-response","34","201348","0.0-4.0-6.0-1.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","35","205353","0.0-4.0-6.0-0.2","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[875.9999999999709]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","",""
"html-keyboard-response","36","205855","0.0-4.0-6.0-1.2","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","37","209860","0.0-4.0-6.0-0.3","spark_pilot_norest","8357","4","18","Female","","false","","","","","","[603]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","",""
"html-keyboard-response","38","210362","0.0-4.0-6.0-1.3","spark_pilot_norest","8357","4","18","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"learning-instructions","39","229084","0.0-4.0-7.0-0.0","spark_pilot_norest","8357","4","18","Female","","","","","","","","1107","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","40","238687","0.0-4.0-7.0-0.1","spark_pilot_norest","8357","4","18","Female","","","","","","","","1361.000000000029","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","",""
