"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","2496","0.0-0.0","spark_pilot_norest","9460","2","16","Male","[{""event"":""focus"",""trial"":0,""time"":1124},{""event"":""blur"",""trial"":1,""time"":3236},{""event"":""focus"",""trial"":1,""time"":4778},{""event"":""blur"",""trial"":1,""time"":5332},{""event"":""focus"",""trial"":1,""time"":8317},{""event"":""blur"",""trial"":1,""time"":15671},{""event"":""focus"",""trial"":1,""time"":18986},{""event"":""blur"",""trial"":2,""time"":28045},{""event"":""focus"",""trial"":2,""time"":28472},{""event"":""fullscreenenter"",""trial"":2,""time"":30376}]","","","","","","","","","","","","","","","","","","","","",""
"preload","1","23533","0.0-1.0","spark_pilot_norest","9460","2","16","Male","[{""event"":""focus"",""trial"":0,""time"":1124},{""event"":""blur"",""trial"":1,""time"":3236},{""event"":""focus"",""trial"":1,""time"":4778},{""event"":""blur"",""trial"":1,""time"":5332},{""event"":""focus"",""trial"":1,""time"":8317},{""event"":""blur"",""trial"":1,""time"":15671},{""event"":""focus"",""trial"":1,""time"":18986},{""event"":""blur"",""trial"":2,""time"":28045},{""event"":""focus"",""trial"":2,""time"":28472},{""event"":""fullscreenenter"",""trial"":2,""time"":30376}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"fullscreen","2","31367","0.0-2.0","spark_pilot_norest","9460","2","16","Male","","true","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","32722","0.0-3.0-0.0-0.0","spark_pilot_norest","9460","2","16","Male","","","","","","","1248","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","4","41393","0.0-3.0-1.0-0.0","spark_pilot_norest","9460","2","16","Male","","","","","","","1087.0999999940395","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","5","51355","0.0-3.0-1.0-0.1","spark_pilot_norest","9460","2","16","Male","","","","","","","858.9000000059605","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","6","61211","0.0-3.0-1.0-0.2","spark_pilot_norest","9460","2","16","Male","","","","","","","914.8000000119209","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","75103","0.0-3.0-1.0-0.3","spark_pilot_norest","9460","2","16","Male","","","","","","","756.7000000178814","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","87229","0.0-3.0-1.0-0.4","spark_pilot_norest","9460","2","16","Male","","","","","","","732.8000000119209","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","97154","0.0-3.0-1.0-0.5","spark_pilot_norest","9460","2","16","Male","","","","","","","1417.6000000238419","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","10","107648","0.0-3.0-1.0-0.6","spark_pilot_norest","9460","2","16","Male","","","","","","","991.6999999880791","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","11","116358","0.0-3.0-1.0-0.7","spark_pilot_norest","9460","2","16","Male","","","","","","","1021.7000000178814","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"revaluation","12","120382","0.0-3.0-2.0-0.0","spark_pilot_norest","9460","2","16","Male","","","false","","","","[462.19999998807907]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","13","120895","0.0-3.0-2.0-1.0","spark_pilot_norest","9460","2","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","14","124906","0.0-3.0-2.0-0.1","spark_pilot_norest","9460","2","16","Male","","","false","","","","[1035.699999988079]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","15","125421","0.0-3.0-2.0-1.1","spark_pilot_norest","9460","2","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"revaluation","16","129437","0.0-3.0-2.0-0.2","spark_pilot_norest","9460","2","16","Male","","","false","","","","[690.4000000059605]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","",""
"html-keyboard-response","17","129938","0.0-3.0-2.0-1.2","spark_pilot_norest","9460","2","16","Male","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
