"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1956","0.0-0.0","spark_pilot_norest","8718","1","21","Female","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","82017","0.0-1.0","spark_pilot_norest","8718","1","21","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":87727},{""event"":""blur"",""trial"":112,""time"":657082},{""event"":""focus"",""trial"":112,""time"":674917},{""event"":""blur"",""trial"":262,""time"":1279394},{""event"":""focus"",""trial"":263,""time"":1296405},{""event"":""blur"",""trial"":390,""time"":1657858},{""event"":""focus"",""trial"":392,""time"":1659095}]","","","","","","","","","","","","","","","","",""
"fullscreen","2","88545","0.0-2.0","spark_pilot_norest","8718","1","21","Female","true","","","","","","","","","","","","","","","","","","","","","",""
"call-function","3","101918","0.0-3.0","spark_pilot_norest","8718","1","21","Female","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","4","106375","0.0-4.0-0.0-0.0","spark_pilot_norest","8718","1","21","Female","","","","","","","","4325","./assets/audio/audiotest/turtle.mp3","1","audio_test","","","","","","","","","","","",""
"audio-button-response","5","108503","0.0-4.0-0.1-0.1","spark_pilot_norest","8718","1","21","Female","","","","","","","","1125","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","",""
"learning-instructions","6","116610","0.0-4.0-1.0-0.0","spark_pilot_norest","8718","1","21","Female","","","","","","","","1137","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","",""
"learning-instructions","7","125980","0.0-4.0-1.0-0.1","spark_pilot_norest","8718","1","21","Female","","","","","","","","968.9999999999854","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","8","135035","0.0-4.0-1.0-0.2","spark_pilot_norest","8718","1","21","Female","","","","","","","","815.0000000000291","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
"learning-instructions","9","149175","0.0-4.0-1.0-0.3","spark_pilot_norest","8718","1","21","Female","","","","","","","","996","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","",""
